route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16,281795003,123006491281795003,"CITY VIA MAELB.",0,9682669,012b0011
16,281795003,123006492281795003,"AIRPORT VIA MAEL",1,9682669,012b0010
16,281795003,123006493281795003,"CITY VIA MAELB.",0,9682676,012b0011
16,281795003,123006494281795003,"BRUSSELS AIRPORT",1,9682676,012b0258
16,281795003,123006495281795003,"AIRPORT VIA MAEL",1,9682681,012b0010
16,281795003,123006496281795003,"CITY VIA MAELB.",0,9682676,012b0011
16,281795003,123006497281795003,"AIRPORT VIA MAEL",1,9682676,012b0010
16,281795003,123006498281795003,"AIRPORT VIA MAEL",1,9682676,012b0010
16,281795003,123006499281795003,"AIRPORT VIA MAEL",1,9682680,012b0010
16,281795003,123006500281795003,"BRUSSELS AIRPORT",1,9682666,012b0258
16,281795003,123006503281795003,"MEISER VIA MAELB",1,9682693,012b0016
16,281795003,123006524281795003,"CITY VIA MAELB.",0,9682664,012b0012
16,281795003,123006546281795003,"BRUSSELS AIRPORT",1,9682690,012b0258
16,281795003,123006547281795003,"BRUSSELS AIRPORT",1,9682687,012b0258
16,281795003,123006548281795003,"BRUSSELS AIRPORT",1,9682678,012b0258
16,281795003,123006549281795003,"BRUSSELS AIRPORT",1,9682693,012b0258
16,281795003,123006550281795003,"BRUSSELS AIRPORT",1,9682692,012b0258
16,281795003,123006551281795003,"BRUSSELS AIRPORT",1,9682683,012b0258
16,281795003,123006552281795003,"BRUSSELS AIRPORT",1,9682691,012b0258
16,281795003,123006553281795003,"BRUSSELS AIRPORT",1,9682695,012b0258
16,281795003,123006554281795003,"BRUSSELS AIRPORT",1,9682685,012b0258
16,281795003,123006555281795003,"BRUSSELS AIRPORT",1,9682694,012b0258
16,281795003,123006556281795003,"BRUSSELS AIRPORT",1,9682688,012b0258
16,281795003,123006568281795003,"MEISER VIA MAELB",1,9682688,012b0016
16,281795003,123006569281795003,"MEISER VIA MAELB",1,9682690,012b0016
16,281795003,123006570281795003,"MEISER VIA MAELB",1,9682692,012b0016
16,281795003,123006571281795003,"MEISER VIA MAELB",1,9682682,012b0016
16,281795003,123006572281795003,"MEISER VIA MAELB",1,9682665,012b0016
16,281795003,123006573281795003,"CITY VIA MAELB.",0,9682677,012b0012
16,281795003,123006574281795003,"CITY VIA MAELB.",0,9682679,012b0012
16,281795003,123006575281795003,"CITY VIA MAELB.",0,9682680,012b0012
16,281795003,123006576281795003,"CITY VIA MAELB.",0,9682684,012b0012
16,281795003,123006582281795003,"CITY VIA MAELB.",0,9682682,012b0012
16,281795003,123006583281795003,"BRUSSELS AIRPORT",1,9682686,012b0258
16,281795003,123006584281795003,"BRUSSELS AIRPORT",1,9682689,012b0258
16,281795003,123006585281795003,"BRUSSELS AIRPORT",1,9682681,012b0258
16,281795003,123006597281795003,"BRUSSELS AIRPORT",1,9682660,012b0258
16,281795003,123006598281795003,"BRUSSELS AIRPORT",1,9682661,012b0258
17,281798503,123006623281798503,"BORDET STATION VIA MAELBEEK",1,9682714,021b0016
16,281798503,123006624281798503,"CITY VIA MAELB.",0,9682714,012b0011
16,281798503,123006625281798503,"CITY VIA MAELB.",0,9682714,012b0011
16,281798503,123006626281798503,"AIRPORT VIA MAEL",1,9682697,012b0010
16,281798503,123006627281798503,"CITY VIA MAELB.",0,9682697,012b0011
16,281798503,123006628281798503,"AIRPORT VIA MAEL",1,9682697,012b0010
16,281798503,123006629281798503,"CITY VIA MAELB.",0,9682697,012b0011
16,281798503,123006630281798503,"AIRPORT VIA MAEL",1,9682700,012b0010
16,281798503,123006631281798503,"CITY VIA MAELB.",0,9682717,012b0011
16,281798503,123006632281798503,"CITY VIA MAELB.",0,9682714,012b0011
16,281798503,123006633281798503,"AIRPORT VIA MAEL",1,9682714,012b0010
16,281798503,123006634281798503,"AIRPORT VIA MAEL",1,9682714,012b0010
16,281798503,123006635281798503,"CITY VIA MAELB.",0,9682698,012b0011
16,281798503,123006636281798503,"AIRPORT VIA MAEL",1,9682698,012b0010
16,281798503,123006637281798503,"CITY VIA MAELB.",0,9682698,012b0011
16,281798503,123006638281798503,"AIRPORT VIA MAEL",1,9682698,012b0010
17,281798503,123006639281798503,"TRONE",0,9682698,021b0051
16,281798503,123006640281798503,"CITY VIA MAELB.",0,9682698,012b0011
16,281798503,123006641281798503,"AIRPORT VIA MAEL",1,9682698,012b0010
16,281798503,123006642281798503,"CITY VIA MAELB.",0,9682698,012b0011
16,281798503,123006643281798503,"CITY VIA MAELB.",0,9682702,012b0011
16,281798503,123006644281798503,"AIRPORT VIA MAEL",1,9682714,012b0010
16,281798503,123006645281798503,"CITY VIA MAELB.",0,9682714,012b0011
16,281798503,123006646281798503,"AIRPORT VIA MAEL",1,9682702,012b0010
16,281798503,123006647281798503,"CITY VIA MAELB.",0,9682702,012b0011
16,281798503,123006648281798503,"AIRPORT VIA MAEL",1,9682702,012b0010
16,281798503,123006649281798503,"CITY VIA MAELB.",0,9682702,012b0011
16,281798503,123006650281798503,"AIRPORT VIA MAEL",1,9682702,012b0010
16,281798503,123006651281798503,"CITY VIA MAELB.",0,9682717,012b0011
16,281798503,123006652281798503,"AIRPORT VIA MAEL",1,9682717,012b0010
16,281798503,123006653281798503,"CITY VIA MAELB.",0,9682717,012b0011
17,281798503,123006654281798503,"TRONE",0,9682697,021b0051
16,281798503,123006655281798503,"CITY VIA MAELB.",0,9682699,012b0012
16,281798503,123006656281798503,"AIRPORT VIA MAEL",1,9682699,012b0010
16,281798503,123006657281798503,"CITY VIA MAELB.",0,9682699,012b0011
16,281798503,123006658281798503,"CITY VIA MAELB.",0,9682699,012b0011
16,281798503,123006659281798503,"AIRPORT VIA MAEL",1,9682699,012b0010
16,281798503,123006660281798503,"CITY VIA MAELB.",0,9682699,012b0011
16,281798503,123006661281798503,"AIRPORT VIA MAEL",1,9682699,012b0010
16,281798503,123006662281798503,"AIRPORT VIA MAEL",1,9682718,012b0010
16,281798503,123006663281798503,"AIRPORT VIA MAEL",1,9682699,012b0010
16,281798503,123006664281798503,"CITY VIA MAELB.",0,9682699,012b0011
16,281798503,123006665281798503,"CITY VIA MAELB.",0,9682718,012b0011
17,281798503,123006666281798503,"BORDET STATION VIA MAELBEEK",1,9682713,021b0016
16,281798503,123006667281798503,"CITY VIA MAELB.",0,9682700,012b0012
16,281798503,123006668281798503,"AIRPORT VIA MAEL",1,9682697,012b0010
16,281798503,123006669281798503,"CITY VIA MAELB.",0,9682697,012b0011
16,281798503,123006670281798503,"AIRPORT VIA MAEL",1,9682697,012b0010
16,281798503,123006671281798503,"CITY VIA MAELB.",0,9682719,012b0011
16,281798503,123006672281798503,"AIRPORT VIA MAEL",1,9682719,012b0010
16,281798503,123006673281798503,"CITY VIA MAELB.",0,9682700,012b0011
16,281798503,123006674281798503,"CITY VIA MAELB.",0,9682719,012b0011
16,281798503,123006675281798503,"AIRPORT VIA MAEL",1,9682716,012b0010
16,281798503,123006676281798503,"CITY VIA MAELB.",0,9682710,012b0011
16,281798503,123006677281798503,"AIRPORT VIA MAEL",1,9682700,012b0010
16,281798503,123006678281798503,"CITY VIA MAELB.",0,9682720,012b0011
16,281798503,123006679281798503,"AIRPORT VIA MAEL",1,9682720,012b0010
16,281798503,123006680281798503,"CITY VIA MAELB.",0,9682720,012b0011
16,281798503,123006681281798503,"AIRPORT VIA MAEL",1,9682720,012b0010
16,281798503,123006682281798503,"CITY VIA MAELB.",0,9682697,012b0011
16,281798503,123006683281798503,"CITY VIA MAELB.",0,9682720,012b0011
16,281798503,123006684281798503,"AIRPORT VIA MAEL",1,9682720,012b0010
16,281798503,123006685281798503,"AIRPORT VIA MAEL",1,9682713,012b0010
16,281798503,123006686281798503,"AIRPORT VIA MAEL",1,9682698,012b0010
16,281798503,123006687281798503,"AIRPORT VIA MAEL",1,9682698,012b0010
16,281798503,123006688281798503,"CITY VIA MAELB.",0,9682721,012b0011
16,281798503,123006689281798503,"AIRPORT VIA MAEL",1,9682705,012b0010
16,281798503,123006690281798503,"AIRPORT VIA MAEL",1,9682707,012b0010
16,281798503,123006691281798503,"CITY VIA MAELB.",0,9682705,012b0011
16,281798503,123006692281798503,"AIRPORT VIA MAEL",1,9682707,012b0010
16,281798503,123006693281798503,"CITY VIA MAELB.",0,9682707,012b0011
16,281798503,123006694281798503,"CITY VIA MAELB.",0,9682713,012b0011
16,281798503,123006695281798503,"AIRPORT VIA MAEL",1,9682697,012b0010
16,281798503,123006696281798503,"AIRPORT VIA MAEL",1,9682702,012b0010
16,281798503,123006697281798503,"AIRPORT VIA MAEL",1,9682717,012b0010
16,281798503,123006698281798503,"AIRPORT VIA MAEL",1,9682708,012b0010
16,281798503,123006699281798503,"CITY VIA MAELB.",0,9682708,012b0011
16,281798503,123006702281798503,"AIRPORT VIA MAEL",1,9682708,012b0010
16,281798503,123006703281798503,"CITY VIA MAELB.",0,9682708,012b0011
16,281798503,123006704281798503,"AIRPORT VIA MAEL",1,9682710,012b0010
16,281798503,123006705281798503,"AIRPORT VIA MAEL",1,9682713,012b0010
16,281798503,123006706281798503,"AIRPORT VIA MAEL",1,9682714,012b0010
16,281798503,123006707281798503,"CITY VIA MAELB.",0,9682712,012b0011
16,281798503,123006708281798503,"AIRPORT VIA MAEL",1,9682715,012b0010
16,281798503,123006709281798503,"CITY VIA MAELB.",0,9682715,012b0011
16,281798503,123006710281798503,"AIRPORT VIA MAEL",1,9682715,012b0010
16,281798503,123006711281798503,"CITY VIA MAELB.",0,9682715,012b0011
16,281798503,123006712281798503,"AIRPORT VIA MAEL",1,9682715,012b0010
16,281798503,123006713281798503,"AIRPORT VIA MAEL",1,9682713,012b0010
16,281798503,123006714281798503,"BRUSSELS AIRPORT",1,9682701,012b0258
16,281798503,123006715281798503,"CITY VIA MAELB.",0,9682701,012b0011
16,281798503,123006716281798503,"CITY VIA MAELB.",0,9682713,012b0011
16,281798503,123006717281798503,"CITY VIA MAELB.",0,9682716,012b0011
16,281798503,123006718281798503,"AIRPORT VIA MAEL",1,9682713,012b0010
16,281798503,123006719281798503,"CITY VIA MAELB.",0,9682713,012b0011
16,281798503,123006720281798503,"AIRPORT VIA MAEL",1,9682701,012b0010
16,281798503,123006721281798503,"AIRPORT VIA MAEL",1,9682716,012b0010
16,281798503,123006722281798503,"CITY VIA MAELB.",0,9682703,012b0011
16,281798503,123006723281798503,"AIRPORT VIA MAEL",1,9682703,012b0010
16,281798503,123006724281798503,"CITY VIA MAELB.",0,9682706,012b0011
16,281798503,123006725281798503,"AIRPORT VIA MAEL",1,9682706,012b0010
16,281798503,123006726281798503,"CITY VIA MAELB.",0,9682706,012b0011
16,281798503,123006727281798503,"MEISER VIA MAELB",1,9682706,012b0016
17,281798503,123006728281798503,"BORDET STATION VIA MAELBEEK",1,9682718,021b0016
16,281798503,123006729281798503,"CITY VIA MAELB.",0,9682720,012b0011
16,281798503,123006730281798503,"AIRPORT VIA MAEL",1,9682712,012b0010
16,281798503,123006731281798503,"CITY VIA MAELB.",0,9682713,012b0011
16,281798503,123006732281798503,"CITY VIA MAELB.",0,9682707,012b0011
16,281798503,123006733281798503,"AIRPORT VIA MAEL",1,9682711,012b0010
16,281798503,123006734281798503,"CITY VIA MAELB.",0,9682709,012b0011
16,281798503,123006735281798503,"AIRPORT VIA MAEL",1,9682709,012b0010
16,281798503,123006736281798503,"CITY VIA MAELB.",0,9682704,012b0011
16,281798503,123006737281798503,"AIRPORT VIA MAEL",1,9682704,012b0010
16,281798503,123006738281798503,"CITY VIA MAELB.",0,9682704,012b0011
16,281798503,123006739281798503,"AIRPORT VIA MAEL",1,9682704,012b0010
16,281798503,123006740281798503,"CITY VIA MAELB.",0,9682704,012b0011
16,281798503,123006741281798503,"CITY VIA MAELB.",0,9682718,012b0011
17,281798503,123006742281798503,"BORDET STATION VIA MAELBEEK",1,9682704,021b0016
16,281798503,123006743281798503,"CITY VIA MAELB.",0,9682718,012b0011
16,281798503,123006744281798503,"AIRPORT VIA MAEL",1,9682718,012b0010
16,281798503,123006745281798503,"AIRPORT VIA MAEL",1,9682718,012b0010
16,281798503,123006746281798503,"CITY VIA MAELB.",0,9682718,012b0011
