route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
106,EMT,106,Plaza de Manuel Becerra - Vicalvaro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=106,0178BC,FFFFFF
107,EMT,107,Plaza de Castilla - Hortaleza,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=107,0178BC,FFFFFF
108,EMT,108,Oporto - Cementerio de Carabanchel,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=108,0178BC,FFFFFF
109,EMT,109,Plaza de Ciudad Lineal - Castillo de Ucles,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=109,0178BC,FFFFFF
110,EMT,110,Plaza de Manuel Becerra - Cementerio de la Almudena,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=110,0178BC,FFFFFF
111,EMT,111,Puente Vallecas - Entrevias,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=111,0178BC,FFFFFF
112,EMT,112,Mar de Cristal - Barrio del Aeropuerto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=112,0178BC,FFFFFF
113,EMT,113,Mendez Alvaro - Plaza de Ciudad Lineal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=113,0178BC,FFFFFF
114,EMT,114,Avenida de America - Barrio del Aeropuerto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=114,0178BC,FFFFFF
115,EMT,115,Avenida de America - Barajas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=115,0178BC,FFFFFF
116,EMT,116,Glorieta de Embajadores - Villaverde Cruce,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=116,0178BC,FFFFFF
118,EMT,118,Glorieta de Embajadores - Avenida de la Peseta,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=118,0178BC,FFFFFF
119,EMT,119,Atocha - Barrio de Goya,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=119,0178BC,FFFFFF
120,EMT,120,Plaza de Lima - Hortaleza,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=120,0178BC,FFFFFF
121,EMT,121,Campamento - Hospital 12 de Octubre,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=121,0178BC,FFFFFF
122,EMT,122,Avenida de America - Feria de Madrid,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=122,0178BC,FFFFFF
123,EMT,123,Plaza de Legazpi - Butarque,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=123,0178BC,FFFFFF
124,EMT,124,Glorieta de Cuatro Caminos - Lacoma,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=124,0178BC,FFFFFF
125,EMT,125,Mar de Cristal - Hospital Ramon y Cajal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=125,0178BC,FFFFFF
126,EMT,126,Nuevos Ministerios - Barrio del Pilar,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=126,0178BC,FFFFFF
127,EMT,127,Glorieta de Cuatro Caminos - Ciudad de los Periodistas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=127,0178BC,FFFFFF
128,EMT,128,Glorieta de Cuatro Caminos - Barrio del Pilar,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=128,0178BC,FFFFFF
129,EMT,129,Plaza de Castilla - Manoteras,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=129,0178BC,FFFFFF
130,EMT,130,Villaverde Alto - Vicalvaro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=130,0178BC,FFFFFF
131,EMT,131,Campamento - Villaverde Alto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=131,0178BC,FFFFFF
132,EMT,132,Moncloa - Hospital la Paz,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=132,0178BC,FFFFFF
133,EMT,133,Plaza del Callao - Mirasierra,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=133,0178BC,FFFFFF
134,EMT,134,Plaza de Castilla|vaguada - Montecarmelo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=134,0178BC,FFFFFF
135,EMT,135,Plaza de Castilla - Hospital Ramon y Cajal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=135,0178BC,FFFFFF
136,EMT,136,Pacifico - Madrid Sur,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=136,0178BC,FFFFFF
137,EMT,137,Ciudad Puerta de Hierro - Fuencarral,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=137,0178BC,FFFFFF
138,EMT,138,Plaza de Cristo Rey - Colonia San Ignacio de Loyola,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=138,0178BC,FFFFFF
139,EMT,139,Dehesa del Principe - Carabanchel Alto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=139,0178BC,FFFFFF
140,EMT,140,Pavones - Canillejas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=140,0178BC,FFFFFF
141,EMT,141,Estacion de Atocha - Buenos Aires,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=141,0178BC,FFFFFF
142,EMT,142,Pavones - Ensanche de Vallecas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=142,0178BC,FFFFFF
143,EMT,143,Plaza de Manuel Becerra - Villa de Vallecas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=143,0178BC,FFFFFF
144,EMT,144,Pavones - Entrevias,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=144,0178BC,FFFFFF
145,EMT,145,Plaza del Conde de Casal - Ensanche de Vallecas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=145,0178BC,FFFFFF
146,EMT,146,Plaza del Callao - los Molinos,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=146,0178BC,FFFFFF
147,EMT,147,Plaza del Callao - Barrio del Pilar,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=147,0178BC,FFFFFF
148,EMT,148,Plaza del Callao - Puente de Vallecas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=148,0178BC,FFFFFF
149,EMT,149,Tribunal - Plaza de Castilla,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=149,0178BC,FFFFFF
150,EMT,150,Puerta del Sol/sevilla - Colonia Virgen del Cortijo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=150,0178BC,FFFFFF
151,EMT,151,Canillejas - Barajas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=151,0178BC,FFFFFF
152,EMT,152,Avenida de Felipe II - Mendez Alvaro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=152,0178BC,FFFFFF
153,EMT,153,las Rosas - Mar de Cristal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=153,0178BC,FFFFFF
155,EMT,155,Plaza Eliptica - Aluche,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=155,0178BC,FFFFFF
156,EMT,156,Plaza de Manuel Becerra - Plaza de Legazpi,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=156,0178BC,FFFFFF
158,EMT,158,Plaza de España - los Cármenes,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=158,0178BC,FFFFFF
159,EMT,159,Alsacia - el Cañaveral,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=159,0178BC,FFFFFF
160,EMT,160,Moncloa - Aravaca,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=160,0178BC,FFFFFF
161,EMT,161,Moncloa - Aravaca Sur,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=161,0178BC,FFFFFF
162,EMT,162,Moncloa - el Barrial,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=162,0178BC,FFFFFF
163,EMT,163,Estacion de Aravaca - el Plantio,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=163,0178BC,FFFFFF
164,EMT,164,Moncloa - el Pardo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=164,0178BC,FFFFFF
165,EMT,165,Alsacia - Hospital Ramon y Cajal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=165,0178BC,FFFFFF
166,EMT,166,Barajas - Hospital Ramon y Cajal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=166,0178BC,FFFFFF
167,EMT,167,Alsacia - Colonia Fin de Semana,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=167,0178BC,FFFFFF
170,EMT,170,Arroyo del Fresno - Sanchinarro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=170,0178BC,FFFFFF
